"Photon energy, eV","n","k"
0.7314701323486709,1.465456,0
0.7336342451662705,1.465462,0
0.7358112013833811,1.465469,0
0.7380011156732126,1.465475,0
0.7402041040782072,1.465482,0
0.7424202840305373,1.465488,0
0.7446497743729712,1.465495,0
0.7468926953801188,1.465502,0
0.7491491687800587,1.465508,0
0.751419317776362,1.465515,0
0.7537032670705149,1.465522,0
0.7560011428847544,1.465529,0
0.7583130729853194,1.465536,0
0.7606391867061333,1.465543,0
0.7629796149729213,1.46555,0
0.765334490327776,1.465557,0
0.7677039469541778,1.465564,0
0.7700881207024827,1.465572,0
0.7724871491158861,1.465579,0
0.7749011714568732,1.465587,0
0.7773303287341675,1.465594,0
0.7797747637301868,1.465602,0
0.7822346210290203,1.465609,0
0.7847100470449349,1.465617,0
0.7872011900514267,1.465625,0
0.7897082002108262,1.465633,0
0.792231229604471,1.465641,0
0.7947704322634597,1.465649,0
0.7973259641999982,1.465657,0
0.7998979834393529,1.465665,0
0.8024866500524254,1.465673,0
0.8050921261889592,1.465682,0
0.8077145761113989,1.46569,0
0.8103541662294099,1.465699,0
0.8130110651350801,1.465707,0
0.8156854436388139,1.465716,0
0.8183774748059387,1.465725,0
0.8210873339940379,1.465734,0
0.823815198891028,1.465743,0
0.8265612495539981,1.465752,0
0.8293256684488275,1.465761,0
0.8321086404906021,1.46577,0
0.8349103530848465,1.465779,0
0.8377309961695927,1.465789,0
0.8405707622583031,1.465798,0
0.8434298464836716,1.465808,0
0.8463084466423189,1.465818,0
0.849206763240409,1.465827,0
0.8521249995402042,1.465837,0
0.8550633616075842,1.465847,0
0.8580220583605516,1.465857,0
0.861001301618748,1.465868,0
0.8640013061540049,1.465878,0
0.867022289741956,1.465888,0
0.8700644732147348,1.465899,0
0.8731280805147867,1.46591,0
0.8762133387498213,1.46592,0
0.8793204782489342,1.465931,0
0.8824497326199268,1.465942,0
0.8856013388078552,1.465953,0
0.8887755371548366,1.465965,0
0.891972571461149,1.465976,0
0.8951926890476514,1.465987,0
0.8984361408195632,1.465999,0
0.9017031813316343,1.466011,0
0.9049940688547423,1.466023,0
0.908309065443954,1.466035,0
0.9116484370080861,1.466047,0
0.9150124533808097,1.466059,0
0.9184013883933312,1.466071,0
0.9218155199486968,1.466084,0
0.925255130097759,1.466097,0
0.9287205051168518,1.46611,0
0.9322119355872158,1.466123,0
0.9357297164762243,1.466136,0
0.9392741472204523,1.466149,0
0.9428455318106442,1.466162,0
0.9464441788786238,1.466176,0
0.9500704017862047,1.46619,0
0.9537245187161516,1.466204,0
0.9574068527652488,1.466218,0
0.9611177320395327,1.466232,0
0.9648574897517488,1.466246,0
0.9686264643210915,1.466261,0
0.9724249994752919,1.466276,0
0.9762534443551159,1.46629,0
0.9801121536213416,1.466306,0
0.9840014875642834,1.466321,0
0.987921812215934,1.466336,0
0.9918734994647977,1.466352,0
0.9958569271734916,1.466368,0
0.9998724792991912,1.466384,0
1.0039205460170015,1.4664,0
1.0080015238463391,1.466416,0
1.0121158157804058,1.466433,0
1.0162638314188501,1.46645,0
1.0204459871037013,1.466467,0
1.0246627060586753,1.466484,0
1.0289144185319479,1.466502,0
1.0332015619424977,1.466519,0
1.037524581030123,1.466537,0
1.0418839280092413,1.466555,0
1.0462800627265798,1.466574,0
1.050713452822879,1.466592,0
1.055184573898721,1.466611,0
1.059693909684613,1.46663,0
1.064241952215448,1.466649,0
1.0688292020094803,1.466669,0
1.0734561682519455,1.466689,0
1.078123368983476,1.466709,0
1.0828313312934472,1.466729,0
1.0875805915184187,1.46675,0
